payment_ref,reference,customer_code,payer_name,value_date,amount,currency
BNK-2026-000003,INV-2026-0003,C044,Kobuleti Agro JSC,2026-04-28,30175.00,GEL
BNK-2026-000016,INV-2026-0016,C019,Telavi Construction JSC,2026-04-30,28160.50,GEL
BNK-2026-000019,INV-2026-0019,C055,Tbilisi Agro LLC,2026-04-25,16400.50,GEL
BNK-2026-000044,INV-2026-0044,C033,Gori Pharma Group,2026-04-04,36461.50,USD
BNK-2026-000052,INV-2026-0052,C034,Akhaltsikhe Retail Co,2026-04-11,16470.00,GEL
BNK-2026-000055,INV-2026-0055,C007,Kobuleti Print Group,2026-04-26,44436.50,GEL
BNK-2026-000063,INV-2026-0063,C044,Kobuleti Agro JSC,2026-04-16,2313.00,GEL
BNK-2026-000067,INV-2026-0067,C045,Tbilisi Pharma Co,2026-04-24,11949.00,GEL
BNK-2026-000091,INV-2026-0091,C051,Telavi Logistics LLC,2026-04-27,3378.50,EUR
BNK-2026-000095,INV-2026-0095,C056,Poti Pharma Group,2026-04-25,43192.00,GEL
BNK-2026-000119,INV-2026-0119,C001,ალაზანი Group,2026-04-26,1127.50,GEL
BNK-2026-000153,PMT-INV-2026-0153 PAYMENT,C053,Telavi Energy Group,2026-04-08,27684.00,USD
BNK-2026-000163,PMT-INV-2026-0163 PAYMENT,C021,Poti Foods JSC,2026-04-25,32351.00,GEL
BNK-2026-000165,inv 2026 0165,C039,Kobuleti Foods Group,2026-04-26,21524.00,USD
BNK-2026-000184,INV-2026-0484,C046,Tbilisi Textiles LLC,2026-04-13,17412.00,GEL
BNK-2026-000202,PAYMENT FOR SERVICES,C035,Telavi Agro JSC,2026-04-10,2015.00,GEL
BNK-2026-000209,TRF,C032,Marneuli Steel LLC,2026-04-21,557.00,USD
BNK-2026-000212,,C011,Batumi Construction Group,2026-04-27,19437.50,GEL
BNK-2026-000218,,C034,Akhaltsikhe Retail Co,2026-04-20,42815.00,GEL
BNK-2026-000220,ANGARISHSWORA,C052,Poti Textiles Co,2026-04-26,15392.50,GEL
BNK-2026-000254,INV-2026-0254,C004,ლიხი JSC,2026-04-26,14879.16,GEL
BNK-2026-000265,INV-2026-0265,C004,ლიხი JSC,2026-04-24,24027.59,GEL
BNK-2026-000267,INV-2026-0267,C028,Mtskheta Retail LLC,2026-04-20,13278.50,GEL
BNK-2026-000273,INV-2026-0273,C050,Tbilisi Trading LLC,2026-04-01,42995.50,GEL
BNK-2026-000276,INV-2026-0276,C052,Poti Textiles Co,2026-04-25,20341.00,GEL
BNK-2026-000279,INV-2026-0279,C041,Kobuleti Construction JSC,2026-04-28,16948.50,GEL
BNK-2026-000289,INSTALMENT 1 OF 2,C034,Akhaltsikhe Retail Co,2026-04-13,15904.25,GEL
BNK-2026-000290,INSTALMENT 2 OF 2,C034,Akhaltsikhe Retail Co,2026-04-18,15904.25,GEL
BNK-2026-000297,INSTALMENT 1 OF 2,C006,ბორჯომი Co,2026-04-24,7217.75,GEL
BNK-2026-000309,PO-86099,C003,კოლხეთი JSC,2026-04-23,35432.64,EUR
BNK-2026-000311,PO-55526,C019,Telavi Construction JSC,2026-04-13,11805.30,GEL
BNK-2026-000318,PO-93844,C048,Poti Construction JSC,2026-04-22,4190.80,USD
BNK-2026-000320,PO-70403,C019,Telavi Construction JSC,2026-04-19,22299.19,GEL
BNK-2026-000323,PO-82767,C009,Poti Steel JSC,2026-04-07,2364.54,USD
BNK-2026-000340,PAYMENT FOR SERVICES,,Batumi Systems 1,2026-04-13,20783.50,GEL
BNK-2026-000342,GEO PAY,,Telavi Logistics 3,2026-04-16,24811.50,GEL
BNK-2026-000347,SETTLEMENT,C004,ლიხი JSC,2026-04-22,5850.83,GEL
BNK-2026-000350,PAYMENT AS AGREED,C055,Tbilisi Agro LLC,2026-04-11,24247.63,GEL
BNK-2026-000356,SETTLEMENT,C058,Marneuli Logistics Group,2026-04-13,34329.19,GEL
BNK-2026-000361,ANGARISHSWORA,C025,Mtskheta Steel JSC,2026-04-18,15856.37,GEL
BNK-2026-000364,TRANSFER,C030,Marneuli Construction Co,2026-04-08,42218.13,GEL
BNK-2026-000365,MONTHLY PAYMENT,C043,Zugdidi Pharma Co,2026-04-06,36394.69,GEL
BNK-2026-000369,SETTLEMENT,C046,Tbilisi Textiles LLC,2026-04-22,35059.19,GEL
BNK-2026-000370,PAYMENT AS AGREED,C015,Kobuleti Logistics LLC,2026-04-19,36874.37,GEL
BNK-2026-000372,PAYMENT FOR SERVICES,C021,Poti Foods JSC,2026-04-18,19212.69,GEL
BNK-2026-000374,PAYMENT,C054,Kobuleti Steel Co,2026-04-18,7772.19,GEL
BNK-2026-000375,MONTHLY PAYMENT,C004,ლიხი JSC,2026-04-17,36407.13,GEL
BNK-2026-000378,GEO PAY,C059,Kobuleti Textiles LLC,2026-04-23,674.37,USD
BNK-2026-000387,TRANSFER,C012,Zugdidi Retail Co,2026-04-23,2398.37,GEL
BNK-2026-000391,,C042,Gori Trading Co,2026-04-27,6174.37,GEL
BNK-2026-000393,TRF,C026,Kutaisi Print Group,2026-04-30,1292.87,GEL
