payment_ref,reference,customer_code,payer_name,value_date,amount,currency
BNK-2026-000002,INV-2026-0002,C007,Kobuleti Print Group,2026-05-22,22169.50,GEL
BNK-2026-000004,INV-2026-0004,C045,Tbilisi Pharma Co,2026-05-10,44654.50,GEL
BNK-2026-000006,INV-2026-0006,C012,Zugdidi Retail Co,2026-05-28,4112.00,GEL
BNK-2026-000020,INV-2026-0020,C050,Tbilisi Trading LLC,2026-05-30,38179.00,GEL
BNK-2026-000026,INV-2026-0026,C015,Kobuleti Logistics LLC,2026-05-12,28671.50,GEL
BNK-2026-000027,INV-2026-0027,C013,Telavi Agro Co,2026-05-31,23430.00,GEL
BNK-2026-000030,INV-2026-0030,C033,Gori Pharma Group,2026-05-06,30528.00,USD
BNK-2026-000038,INV-2026-0038,C058,Marneuli Logistics Group,2026-05-07,26387.50,GEL
BNK-2026-000039,INV-2026-0039,C020,Marneuli Foods JSC,2026-05-27,18464.50,GEL
BNK-2026-000041,INV-2026-0041,C040,Rustavi Pharma JSC,2026-05-12,34442.50,GEL
BNK-2026-000051,INV-2026-0051,C046,Tbilisi Textiles LLC,2026-05-10,9948.50,GEL
BNK-2026-000056,INV-2026-0056,C056,Poti Pharma Group,2026-05-19,44374.00,GEL
BNK-2026-000058,INV-2026-0058,C046,Tbilisi Textiles LLC,2026-05-15,14425.00,GEL
BNK-2026-000059,INV-2026-0059,C006,ბორჯომი Co,2026-05-25,29716.00,GEL
BNK-2026-000073,INV-2026-0073,C048,Poti Construction JSC,2026-05-28,10500.50,USD
BNK-2026-000075,INV-2026-0075,C005,ყაზბეგი LLC,2026-05-04,29480.50,GEL
BNK-2026-000078,INV-2026-0078,C006,ბორჯომი Co,2026-05-10,35974.50,GEL
,TRANSFER,C012,Rustavi Energy Group,2026-05-21,1500.00,GEL
BNK-2026-900002,TRANSFER,C007,Kutaisi Retail LLC,2026-05-19,0.00,GEL
BNK-2026-900001,TRANSFER,C002,Batumi Steel JSC,not-a-date,800.00,GEL
BNK-2026-000080,INV-2026-0080,C022,Rustavi Steel LLC,2026-05-26,43588.50,EUR
BNK-2026-000082,INV-2026-0082,C045,Tbilisi Pharma Co,2026-05-09,27828.50,GEL
BNK-2026-000083,INV-2026-0083,C011,Batumi Construction Group,2026-05-27,17041.00,GEL
BNK-2026-000087,INV-2026-0087,C023,Telavi Trading Group,2026-05-10,20430.50,USD
BNK-2026-000096,INV-2026-0096,C031,Marneuli Systems LLC,2026-05-30,3752.00,GEL
BNK-2026-000099,INV-2026-0099,C038,Gori Agro Group,2026-05-12,3598.00,GEL
BNK-2026-000101,INV-2026-0101,C039,Kobuleti Foods Group,2026-05-13,4986.50,USD
BNK-2026-000106,INV-2026-0106,C016,Gori Steel JSC,2026-05-13,497.50,GEL
BNK-2026-000126,INV-2026-0126,C020,Marneuli Foods JSC,2026-05-19,44179.50,GEL
BNK-2026-000127,INV-2026-0127,C020,Marneuli Foods JSC,2026-05-27,24261.50,GEL
BNK-2026-000132,INV-2026-0132,C050,Tbilisi Trading LLC,2026-05-03,5702.00,GEL
BNK-2026-000133,INV-2026-0133,C044,Kobuleti Agro JSC,2026-05-29,25519.50,GEL
BNK-2026-000135,INV-2026-0135,C054,Kobuleti Steel Co,2026-05-07,25424.50,GEL
BNK-2026-000144,INV-2026-0144,C060,Telavi Pharma LLC,2026-05-17,21888.50,USD
BNK-2026-000149,INV-2026-0149,C032,Marneuli Steel LLC,2026-05-23,26650.00,USD
BNK-2026-000150,INV-2026-0150,C008,Kutaisi Print JSC,2026-05-10,28909.50,GEL
BNK-2026-000151,PMT-INV-2026-0151 PAYMENT,C028,Mtskheta Retail LLC,2026-05-06,662.00,GEL
BNK-2026-000154,PMT-INV-2026-0154 PAYMENT,C036,Poti Systems Co,2026-05-04,5397.50,GEL
BNK-2026-000155,PMT-INV-2026-0155 PAYMENT,C053,Telavi Energy Group,2026-05-01,31361.50,USD
BNK-2026-000156,PMT-INV-2026-0156 PAYMENT,C051,Telavi Logistics LLC,2026-05-17,16216.00,EUR
BNK-2026-000159,PMT-INV-2026-0159 PAYMENT,C047,Telavi Textiles JSC,2026-05-03,30981.50,USD
BNK-2026-000162,PMT-INV-2026-0162 PAYMENT,C007,Kobuleti Print Group,2026-05-17,38950.50,GEL
BNK-2026-000166,inv 2026 0166,C050,Tbilisi Trading LLC,2026-05-08,25390.00,GEL
BNK-2026-000168,inv 2026 0168,C055,Tbilisi Agro LLC,2026-05-18,26850.00,GEL
BNK-2026-000169,inv 2026 0169,C057,Batumi Systems Co,2026-05-26,1319.50,USD
BNK-2026-000170,inv 2026 0170,C050,Tbilisi Trading LLC,2026-05-14,17630.50,GEL
BNK-2026-000171,inv 2026 0171,C009,Poti Steel JSC,2026-05-11,23509.50,USD
BNK-2026-000173,inv 2026 0173,C034,Akhaltsikhe Retail Co,2026-05-02,9893.00,GEL
BNK-2026-000175,ინვ-2026-0175,C031,Marneuli Systems LLC,2026-05-12,3806.50,GEL
BNK-2026-000178,ინვ-2026-0178,C019,Telavi Construction JSC,2026-05-17,31684.00,GEL
BNK-2026-000187,INV-2026-4187,C060,Telavi Pharma LLC,2026-05-10,42702.00,USD
BNK-2026-000192,INV-2026-0792,C034,Akhaltsikhe Retail Co,2026-05-17,23480.50,GEL
BNK-2026-000193,INV-2026-0993,C008,Kutaisi Print JSC,2026-05-24,2918.00,GEL
BNK-2026-000196,INV-2026-0096,C020,Marneuli Foods JSC,2026-05-13,42991.50,GEL
BNK-2026-000198,INV-2026-0998,C008,Kutaisi Print JSC,2026-05-24,5651.50,GEL
BNK-2026-000199,INV-2026-0109,C030,Marneuli Construction Co,2026-05-28,40529.50,GEL
BNK-2026-000200,INV-2026-0290,C047,Telavi Textiles JSC,2026-05-22,7230.00,USD
BNK-2026-000204,MONTHLY PAYMENT,C050,Tbilisi Trading LLC,2026-05-27,28766.00,GEL
BNK-2026-000207,SETTLEMENT,C034,Akhaltsikhe Retail Co,2026-05-04,14865.50,GEL
BNK-2026-000215,SETTLEMENT,C023,Telavi Trading Group,2026-05-20,21285.00,USD
BNK-2026-000230,PAYMENT AS AGREED,C036,Poti Systems Co,2026-05-24,29876.00,GEL
BNK-2026-000234,ACCOUNT SETTLEMENT,C035,Telavi Agro JSC,2026-05-05,31043.01,GEL
BNK-2026-000235,ACCOUNT SETTLEMENT,C021,Poti Foods JSC,2026-05-20,613.01,GEL
BNK-2026-000236,PAYMENT FOR SERVICES,C048,Poti Construction JSC,2026-05-27,37322.98,USD
BNK-2026-000248,INV-2026-0248,C016,Gori Steel JSC,2026-05-30,2792.36,GEL
BNK-2026-000250,INV-2026-0250,C008,Kutaisi Print JSC,2026-05-09,10097.03,GEL
BNK-2026-000256,INV-2026-0256,C025,Mtskheta Steel JSC,2026-05-19,41449.49,GEL
BNK-2026-000259,INV-2026-0259,C040,Rustavi Pharma JSC,2026-05-26,4804.46,GEL
BNK-2026-000263,INV-2026-0263,C042,Gori Trading Co,2026-05-27,1429.36,GEL
BNK-2026-000266,INV-2026-0266,C010,Tbilisi Retail Co,2026-05-08,535.49,GEL
BNK-2026-000268,INV-2026-0268,C027,Rustavi Construction Co,2026-05-06,37675.50,GEL
BNK-2026-000274,INV-2026-0274,C006,ბორჯომი Co,2026-05-08,26746.50,GEL
BNK-2026-000278,INV-2026-0278,C015,Kobuleti Logistics LLC,2026-05-25,21008.00,GEL
BNK-2026-000287,INSTALMENT 1 OF 2,C011,Batumi Construction Group,2026-05-08,20306.00,GEL
BNK-2026-000288,INSTALMENT 2 OF 2,C011,Batumi Construction Group,2026-05-14,20306.00,GEL
BNK-2026-000293,INSTALMENT 1 OF 2,C015,Kobuleti Logistics LLC,2026-05-25,11900.75,GEL
BNK-2026-000294,INSTALMENT 2 OF 2,C015,Kobuleti Logistics LLC,2026-05-27,11900.75,GEL
BNK-2026-000295,INSTALMENT 1 OF 2,C012,Zugdidi Retail Co,2026-05-12,1988.25,GEL
BNK-2026-000296,INSTALMENT 2 OF 2,C012,Zugdidi Retail Co,2026-05-19,1988.25,GEL
BNK-2026-000298,INSTALMENT 2 OF 2,C006,ბორჯომი Co,2026-05-03,7217.75,GEL
BNK-2026-000314,PO-66974,C031,Marneuli Systems LLC,2026-05-22,13297.74,GEL
BNK-2026-000315,PO-67486,C014,Poti Construction JSC,2026-05-16,9905.37,GEL
BNK-2026-000328,INV-2026-0075,C005,ყაზბეგი LLC,2026-05-06,29480.50,GEL
BNK-2026-000329,INV-2026-0058,C046,Tbilisi Textiles LLC,2026-05-17,14425.00,GEL
BNK-2026-000330,INV-2026-0078,C006,ბორჯომი Co,2026-05-12,35974.50,GEL
BNK-2026-000333,INV-2026-0059,C006,ბორჯომი Co,2026-05-30,29716.00,GEL
BNK-2026-000345,MONTHLY PAYMENT,,Tbilisi Print 6,2026-05-08,17965.00,GEL
